llm_id,year,llm_avg,PL_rent,rank
226,2007,5.812696452166466,6.4597606927375875,118
226,2008,5.517120001269755,5.806016929940972,197
226,2009,5.732417661007992,5.803731811193865,209
226,2010,5.906751095714977,6.021920873519978,190
226,2011,5.763533157433522,5.911578263068562,207
226,2012,6.091669512858011,6.126626646387292,192
226,2013,6.23611481978728,6.252679959217227,181
226,2014,6.468504445518188,6.495085664137888,175
226,2015,6.960293498249008,7.093875507252635,134
226,2016,7.121518336954403,7.15454403615329,148
226,2017,7.404143516014578,7.556032176532354,144
226,2018,7.814311935020379,7.976808892316385,127
226,2019,8.862150252428878,9.953094928216103,42
226,2020,9.143021210691918,9.66674112611827,75
226,2021,9.91014472195994,10.311638714274467,72
226,2022,10.36421144331149,11.213584386442092,37
226,2023,10.467508432322589,11.3182020263701,45
226,2024,10.467088300414758,11.279850109464286,41
229,2007,4.985564345205638,4.800353500000001,237
229,2008,5.157894412488033,4.969709900000001,237
229,2009,5.288132666033995,5.146791500000001,249
229,2010,5.381560038116666,5.265292600000001,251
229,2011,5.19334458422113,5.115599600000001,253
229,2012,5.370605608329568,5.249105000000001,248
229,2013,5.603682087407065,5.472758300000001,240
229,2014,5.981867360313306,5.9272518000000005,218
229,2015,6.092671168712732,6.025056800000001,213
229,2016,6.2492124760745655,6.221608200000001,215
229,2017,6.458997318994592,6.338019400000001,221
229,2018,6.488252220961923,6.447112100000002,239
229,2019,6.229896868273399,6.250413900000002,218
229,2020,8.285198110862549,8.309437800000001,123
229,2021,7.997613983265892,8.562561000000002,150
229,2022,8.686701101787868,9.670244200000003,92
229,2023,8.929070251713709,9.705699900000003,117
229,2024,8.909414214590022,9.763853100000002,103
227,2007,4.677003189769094,4.6865354,244
227,2008,5.937251155785775,6.2529836,155
227,2009,5.21252079383837,5.2540493,245
227,2010,5.456658057614623,5.5559459,236
227,2011,5.664929572268148,5.8367596,211
227,2012,5.332257098435397,5.2620125,246
227,2013,5.443432142615373,5.3089991,246
227,2014,5.877552127267847,5.7658176,232
227,2015,5.955717870323047,5.8672357,224
227,2016,6.215917927173682,6.189079300000001,219
227,2017,5.9734993600353725,5.917170499999999,240
227,2018,6.72561913578478,6.7498727,221
227,2019,5.6575604864412465,5.944358799999999,231
227,2020,6.321265917681242,6.1909099,240
227,2021,7.765774624686546,7.706574900000001,200
227,2022,7.648783175186504,7.5064101,229
227,2023,7.972669841012719,7.8718052,239
227,2024,7.509774029135801,7.323138199999999,243
207,2007,5.434022148031977,5.407057164105075,213
207,2008,4.893536345122589,4.827429552031302,240
207,2009,5.440742130722785,5.474222394820653,236
207,2010,5.526262848547731,5.588946828394599,232
207,2011,5.245438519629954,5.2678388188131215,247
207,2012,5.315316963795844,5.268630850861651,245
207,2013,5.477185843681563,5.434570164099718,243
