postcode_id,price_qm2007,price_qm_se2007,price_qm2008,price_qm_se2008,price_qm2009,price_qm_se2009,price_qm2010,price_qm_se2010,price_qm2011,price_qm_se2011,price_qm2012,price_qm_se2012,price_qm2013,price_qm_se2013,price_qm2014,price_qm_se2014,price_qm2015,price_qm_se2015,price_qm2016,price_qm_se2016,price_qm2017,price_qm_se2017,price_qm2018,price_qm_se2018,price_qm2019,price_qm_se2019,price_qm2020,price_qm_se2020,price_qm2021,price_qm_se2021,price_qm2022,price_qm_se2022,price_qm2023,price_qm_se2023,price_qm2024,price_qm_se2024,Radius
1067,5.7654576,.30165061,5.8797116,.51685512,5.3504949,.14670186,5.5871282,.1181947,5.5263596,.099537447,5.9074759,.093141824,6.0913448,.0688117,6.4007978,.05272112,6.736918,.11241634,6.6211805,.12193388,7.1710186,.107278,7.4460802,.1909551,8.4790888,.9669587,9.4405832,.658427,10.329115,.53620571,11.105361,.18519905,10.973271,.17817117,10.50615,.18517222,2.5
1069,7.6710348,.55334121,6.1680017,.26327252,6.307282,.13976081,6.8066945,.094625391,6.4815011,.092212349,6.3946738,.057394657,6.436409,.040516783,6.7609673,.038046971,7.8238564,.083769657,7.8640265,.093739986,8.1610498,.096604809,8.9535236,.1668435,10.488064,.91564685,9.4249153,.91556799,10.965437,.28069627,11.852004,.17373538,12.103137,.19066755,12.414121,.23695678,2.5
1097,5.2658424,.27124751,5.0261292,.52109766,6.1371465,.16930449,5.8947072,.088892005,5.9828634,.12899272,6.5967469,.13576585,6.6753278,.084274195,6.9751358,.057025138,7.2453175,.14186722,7.329164,.13717185,8.1223583,.12742472,8.1192999,.20088479,9.6370344,.77784914,9.0242424,.59659523,11.590371,.40652642,11.521589,.21379034,11.41797,.20409866,11.336859,.21403871,2.5
1099,5.8665242,.23796751,5.8526921,.47485086,6.5269966,.17636049,6.5565128,.10648856,6.5630651,.16610405,7.1050982,.14327376,7.2430229,.10974161,8.0073071,.11857877,8.0531893,.13397901,8.4054136,.14725077,8.2903862,.12404134,8.8757448,.2260889,9.6813421,.50359058,9.6319571,.35955131,11.4526,.97955316,11.686473,.24959272,11.092936,.28287446,11.314335,.30369642,6.5
1108,5.8497643,.48232141,4.7737308,.2570079,6.0359044,.23049276,6.5997167,.22105573,6.224472,.18424186,6.5649581,.1588545,6.9107366,.16088048,6.9195347,.13228355,7.0802445,.15312715,7.0103159,.11635155,6.8347583,.10811437,7.0948648,.131761,6.2613859,.60169435,7.3778148,.32535133,7.6194992,.37943792,8.6620941,.17096648,9.3190651,.24486235,9.2455597,.26578006,9.5
1109,6.557898,.56522435,4.4214354,.26027739,6.4114728,.37500212,7.266849,.23703085,6.239141,.22824839,6.9618139,.22576825,7.4488091,.22204906,7.4115009,.15470304,7.8837705,.1476711,7.639895,.11979359,7.5543199,.12126698,7.9331651,.21918502,7.4041052,.39419508,6.9786749,.18077423,8.2614546,.30398476,8.91677,.17851219,9.2437334,.29477999,9.0976877,.22573081,5.5
1127,5.2723823,.24572514,5.3955889,.43866745,5.4339256,.13905269,5.273622,.11169986,5.3892307,.12536588,5.8250232,.12164727,5.8303008,.10384032,6.181129,.066821024,6.5190101,.11442892,6.8780775,.086744264,7.1967335,.13878658,7.5153594,.1974628,9.7274694,.5906828,9.3624086,1.0587895,10.413916,.45232192,8.4434824,.32736135,9.6286297,.29031354,10.462729,.47215888,2.5
1129,4.7035403,.38784537,4.7407842,.14814633,5.2006168,.13429061,5.2938409,.10536554,5.2944245,.099085577,5.7005219,.10553804,5.7284341,.085672922,6.0573273,.065198556,6.3853865,.15132491,6.6778555,.11154581,6.9868708,.13999756,7.1468525,.16560325,8.6934586,.43721008,9.3224773,.97174674,10.286757,.58651066,9.3001757,.2653966,8.9818411,.24580303,9.7977705,.29898277,4.5
1139,5.6344585,.3165521,5.6991715,.34142369,6.0411167,.20902584,6.360189,.10867564,6.0596633,.098686144,6.2291536,.105326,6.7130232,.069655687,6.5596218,.045234598,6.7582846,.11238732,7.0865688,.13490584,7.0428185,.10957672,6.837605,.14024821,9.1789255,.58678508,10.257196,.53331327,10.399979,.70581406,10.232388,.19612268,10.082762,.19583975,10.161408,.17589566,4.5
1157,5.5186749,.36248198,5.681673,.35789943,5.618125,.19431861,6.1179013,.14141837,5.7231355,.10993119,6.001368,.17224488,6.3968396,.098068349,6.2713456,.08598832,6.4107738,.13455255,6.4765725,.17174406,6.8713975,.13098486,6.421452,.24050716,8.9073515,.76794583,9.2029943,.52630991,9.5652199,.64006615,9.7968493,.20683783,10.330026,.27600524,9.9874783,.26567972,4.5
