postcode_id,price_qm2007,price_qm_se2007,price_qm2008,price_qm_se2008,price_qm2009,price_qm_se2009,price_qm2010,price_qm_se2010,price_qm2011,price_qm_se2011,price_qm2012,price_qm_se2012,price_qm2013,price_qm_se2013,price_qm2014,price_qm_se2014,price_qm2015,price_qm_se2015,price_qm2016,price_qm_se2016,price_qm2017,price_qm_se2017,price_qm2018,price_qm_se2018,price_qm2019,price_qm_se2019,price_qm2020,price_qm_se2020,price_qm2021,price_qm_se2021,price_qm2022,price_qm_se2022,price_qm2023,price_qm_se2023,price_qm2024,price_qm_se2024,price_qm2025,price_qm_se2025,Radius
1067,5.6793284,.28985813,5.784153,.49326551,5.280581,.1447217,5.5333095,.11619793,5.4731655,.096593902,5.8642073,.091759369,6.0630493,.06657771,6.3944449,.051124338,6.7301779,.11215308,6.6012373,.11930523,7.1697359,.10628743,7.4273787,.19230007,8.4061909,.95850521,9.2941561,.21288532,10.253644,.22783352,11.140014,.1795029,10.991772,.17807631,10.703588,.15184408,11.026853,.19649193,2.5
1069,7.6192436,.55849558,6.0784159,.26105931,6.2606378,.14109382,6.7696872,.096102424,6.4405122,.093575388,6.3665504,.058200426,6.4120193,.040887985,6.7490945,.038111385,7.8088636,.082421519,7.8448024,.091285743,8.1402588,.095767483,8.999711,.16963318,10.394654,.89427054,10.243479,.1679666,11.113451,.18694614,11.905614,.17396024,12.140402,.19621043,12.199707,.19285312,12.509183,.18732455,2.5
1097,5.2098846,.26569811,4.9863977,.51693594,6.1020436,.16776402,5.8758426,.086744837,5.9651399,.12756447,6.5731392,.13580188,6.6574645,.082095407,6.9676795,.055696279,7.174366,.14134833,7.2805676,.13706067,8.0812225,.12620071,8.1057043,.20604318,9.5287771,.7821905,10.10109,.25146601,10.90777,.33317113,11.479177,.21077476,11.338334,.20669231,11.186621,.14680469,11.339315,.20530432,2.5
1099,5.8512759,.36493528,5.5478721,.47696751,6.3370705,.2578702,6.4171863,.15416184,6.5023913,.26225233,7.0921545,.19664191,7.1653876,.1662682,8.3577757,.16862167,7.9560409,.18817134,8.438159,.19866483,8.0237741,.17235668,8.730854,.33943191,8.8957348,.75267029,10.990665,.21862771,10.945158,.38878864,11.891512,.35282853,10.997353,.35243052,11.388454,.32027531,11.21344,.30689588,5.5
1108,5.7186179,.48627159,4.645669,.23974742,5.9087906,.2230224,6.4652462,.20589444,6.0979824,.17548889,6.443645,.15427844,6.7562671,.14720175,6.7979879,.12127879,6.9912896,.14225517,6.9344282,.10873505,6.7481713,.10134227,7.0138726,.11817355,6.2375736,.59145689,7.425456,.25476667,8.0859346,.24874619,8.5508909,.15968336,9.1555614,.23631372,9.3928165,.19891267,9.7601194,.30973345,9.5
1109,6.4908032,.56628132,4.4051051,.24542002,6.3351932,.36730844,7.1411786,.23324177,6.1769142,.22152498,6.8804688,.23008512,7.3311911,.22143248,7.3221478,.15869778,7.8080163,.14434341,7.653935,.12234122,7.5595875,.11673806,7.9021969,.20723572,7.4929037,.36916366,8.1064138,.20298764,8.9447365,.17495786,8.8355589,.16840866,9.0360756,.26857021,9.6738405,.21486348,9.916995,.2854937,5.5
1127,5.2961817,.25163791,5.4547524,.44586745,5.4830475,.13812803,5.3371358,.1129358,5.4705906,.12621613,5.8973155,.12285241,5.9007268,.10410415,6.2579937,.066745222,6.5127263,.11578786,6.8287358,.085298836,7.244792,.14332752,7.746347,.17966363,9.8121881,.59257358,8.6251869,.26348227,8.7240496,.42076817,8.5633602,.33168671,9.7086325,.28853083,10.643059,.35542336,10.263808,.37436625,2.5
1129,4.7012835,.38455707,4.749629,.14327882,5.189342,.13808995,5.2823167,.10918548,5.2813139,.10193428,5.6754441,.10780362,5.6973453,.085126527,6.0568538,.062985636,6.367548,.14998406,6.5899377,.10527398,6.9802985,.14446191,7.2048731,.16777383,8.6556015,.43768269,7.8392973,.16844513,8.4873352,.21099594,9.3019037,.26917043,8.9056654,.24275401,9.8360443,.24293786,9.968749,.22811206,4.5
1139,5.4309616,.30076137,5.541995,.32878068,5.9458466,.21151072,6.2826815,.11100072,5.9736238,.10033873,6.1403298,.10416229,6.6723633,.070717491,6.4886451,.044843093,6.6944675,.1125346,6.9937387,.13230608,6.9612479,.10065444,6.7210455,.13699166,9.0104818,.58217967,8.324338,.20529792,8.5917473,.23025303,10.038519,.1961585,9.9776306,.19268185,10.019747,.14615853,10.291417,.15095386,4.5
1157,5.4291191,.33649272,5.5230503,.35749155,5.5671916,.1911975,6.0940247,.14164858,5.679388,.10780295,5.980855,.16950567,6.4106598,.092056982,6.2690492,.077015154,6.3936219,.12798791,6.449039,.1643378,6.7912288,.12528937,6.3915262,.23383553,8.7228413,.71200174,8.3240576,.13465455,8.4429169,.17912291,9.7215967,.19321473,10.248515,.26210982,9.7698917,.19554242,9.9518909,.2147143,4.5
1159,5.8186159,.28580967,4.8463998,.34386781,5.8502941,.229673,5.8575335,.11956059,5.8633733,.10428269,6.1259336,.11299785,6.2697754,.088291049,6.3600535,.075398967,6.7453222,.096588217,6.7871947,.10841218,7.1844296,.16157322,7.4979115,.1570691,9.4997721,.45455363,8.9801474,.20640589,9.6352386,.28133875,10.686783,.20799734,10.87596,.15371951,10.438587,.22048733,10.179869,.25910136,2.5
1169,5.6501727,.30430427,5.2953167,.29408926,5.4350309,.14114462,5.744535,.14538279,5.5176296,.11737616,5.7159457,.14565265,6.1329718,.13279864,6.0650792,.13038674,6.1924539,.19186969,6.4126449,.14871895,6.8198915,.19065566,7.0594225,.243453,8.5917482,.67105067,8.41926,.16930878,8.9340773,.22327574,10.267535,.38011596,10.59199,.36143777,10.111001,.34922042,9.4750481,.23089023,4.5
1187,5.7890944,.31587344,4.8061614,.21350281,5.4281392,.17588814,5.8120675,.084321722,5.6211882,.095853068,5.733037,.10710521,5.8543968,.10479247,5.9637642,.08894027,6.5147138,.14026472,6.7229304,.13996115,7.0055075,.12323294,7.4530406,.14848977,8.6615524,.45263663,8.6018124,.16291173,9.3240957,.21436462,10.065643,.17127229,10.01246,.19525935,9.8644714,.18599775,9.7712259,.21286762,3.5
1189,5.8499112,.37301761,5.0666294,.19850452,5.2863913,.2095757,5.8336596,.1118085,5.5205107,.12862477,5.5721474,.13910419,5.6078515,.12779415,5.827672,.10584481,6.4151053,.13020913,6.4502101,.12574202,6.7293501,.12864678,7.230341,.16112341,8.4540157,.4965727,8.2439146,.15121482,8.8218489,.20269723,10.029957,.32342678,9.6497517,.19984125,9.5277472,.18405855,9.6274214,.22972019,4.5
1217,4.997613,.27936605,4.6098342,.2272979,4.9284902,.13604519,5.1514797,.098254673,4.961514,.12163576,4.8329887,.092168033,4.9785843,.07479497,5.0622153,.069907583,6.0096192,.098738648,5.9109035,.10685988,6.0763178,.17729282,6.761167,.16277564,7.1870093,.43518671,7.6792116,.16244556,7.683145,.21726137,8.3976908,.21770881,8.6982355,.35982573,8.8492403,.17283891,9.103653,.40571451,3.5
1219,5.0335102,.36690307,5.296113,.25884834,5.5183754,.21975544,5.6281214,.12182098,5.3918915,.13973847,5.724515,.11814588,5.9029636,.09642563,5.7798696,.054627549,6.8731546,.1617285,6.8538876,.17307827,7.2857766,.22270237,7.4295516,.25466484,6.8217416,.68477958,8.9264221,.24678031,9.0959911,.36150995,9.344079,.40987545,10.367298,.58790708,9.6474476,.31630611,11.749195,.62858593,3.5
1237,4.8802876,.41046342,5.2394714,.32918283,5.5229154,.20412008,5.1873918,.10385934,5.1314721,.11554916,5.3856893,.10225168,5.5049262,.082473889,5.252121,.039095841,5.9057713,.12337603,5.9582047,.19352525,7.1834884,.1692144,6.9618382,.19542187,5.9929037,.75845331,9.1737604,.39157367,8.8875265,.43666694,8.5576763,.25645164,8.6443071,.19251125,8.9638319,.27684942,9.0312262,.21728516,4.5
1239,4.6228738,.32958299,5.184577,.31635699,5.3190684,.17905991,5.158308,.10885866,5.1769323,.18637937,5.2351089,.10602279,5.3361731,.098484106,5.0761714,.062874727,5.6596117,.14409107,6.2486439,.2162565,7.0233059,.22998287,6.8756566,.2894271,6.4288998,.42405674,8.1657944,.36091006,7.9372187,.38585559,7.9030857,.2170788,8.3019905,.26450783,8.6165791,.26928812,8.5747108,.23116675,5.5
1257,4.5089173,.42942679,5.4735203,.25654253,5.2229528,.18121332,5.156136,.13185604,5.1128197,.15911096,5.1487894,.13931575,5.2128873,.15456751,4.9434819,.065597676,5.6139202,.17204098,6.0367713,.16356397,6.6047478,.17738703,6.4321337,.24493159,6.3949552,.33780718,8.6480827,.31361571,8.1805696,.36483479,7.3394737,.20379516,7.8231807,.17088936,8.6631556,.26581749,8.3622141,.23107031,6.5
1259,4.8171482,.30922243,5.8015795,.24823804,5.1781445,.14570431,5.0788116,.11243129,5.1149554,.11546936,5.3986912,.15890267,5.1841164,.10246185,4.9473381,.073055059,5.899384,.18367599,6.2104845,.17613021,6.6417007,.14079018,6.4974999,.18241739,6.6353073,.25628951,8.6999302,.23550273,8.0987759,.30793098,7.4419837,.16919257,7.8469863,.18513907,8.8448639,.2257091,8.603919,.2013175,8.5
1277,4.9341102,.28474975,5.0152321,.27475014,5.2520857,.18773396,4.9675493,.09346538,4.8993025,.18145198,5.2140722,.11393654,5.2287855,.079699464,5.2163019,.052402884,5.7524161,.12082621,5.5197277,.14390293,6.8103895,.13063733,6.4266539,.21331425,4.6001878,.20737205,8.8173113,.34735247,8.5301628,.45830789,8.6794147,.34745091,9.6759501,.29660761,9.4971571,.35685679,9.7636347,.43915632,3.5
1279,5.9761052,.3719022,7.0833735,.39180866,5.8523664,.27696246,5.4703956,.14175153,5.5803523,.16339053,5.883358,.16799501,5.8709726,.14647111,5.5569887,.10712336,6.7786498,.25289759,6.8276997,.30438557,7.6259637,.18033624,6.6519947,.36166647,6.9421401,.54259008,10.022871,.32771218,9.7210617,.5349912,9.2444096,.30683619,9.2781639,.292209,9.9308958,.33541712,9.765872,.25315353,4.5
1307,5.2390428,.48496056,6.0004654,.23766361,6.1785636,.31541786,6.2172103,.1388461,6.2221322,.11018887,6.5922012,.12363974,6.6959915,.090289451,7.6930461,.094101824,8.0910702,.14624839,8.2134733,.19995417,8.588706,.14530146,8.6260881,.29484197,9.4761972,1.0759467,10.169971,.57972491,11.514217,.42807746,11.480336,.58631718,11.229776,.38795343,12.820889,.37694082,12.369138,.61370689,2.5
1309,5.0733047,.23450916,5.5328121,.31084985,5.690639,.14912425,5.6303906,.090615094,5.5084014,.082172424,6.2442079,.10524562,6.263248,.054360751,6.7716737,.063653067,7.3364148,.15176217,7.2061992,.17788135,7.7413979,.1583018,8.009696,.14519951,6.0780163,.83090895,10.105385,.17331327,10.149056,.24473816,10.046088,.24351542,10.675717,.25762108,11.424246,.25534964,10.856567,.23009717,3.5
1324,5.5219331,.33498728,5.3601356,.36577091,5.6704941,.23497528,5.4364018,.1570397,5.3593836,.3104156,6.0579934,.20646927,6.0002847,.16832882,7.1496978,.18288772,7.0425906,.18769591,7.7318769,.26563555,7.4427795,.22046879,7.8844514,.44372585,6.8314366,.3184737,11.085774,.29593679,10.506455,.38590816,10.653658,.40497354,10.615956,.52854437,10.29851,.31882784,10.46678,.31021234,6.5
1326,5.2801409,.28743491,6.1433363,.27954236,5.4961782,.15527773,5.2944236,.12020291,5.4388657,.14737923,5.846971,.17197622,5.5858946,.12324291,5.5269041,.10590815,6.316237,.21202244,6.6680627,.21790177,7.0207176,.1650328,6.9786777,.2091714,7.1514969,.33148217,9.47225,.21391007,8.6430569,.30245802,8.1226511,.20102869,8.5657387,.22360413,9.4351416,.23580107,9.2329865,.2091094,9.5
1445,5.2928762,.43784335,5.3117447,.16012087,5.3572836,.25465941,5.4935303,.22859797,5.2807841,.17396016,5.3074298,.17443287,5.5327158,.15872417,6.0778618,.14892283,6.2064915,.18570782,6.3814158,.25437376,6.4702535,.22501741,6.2612081,.23944436,6.3471556,.57675725,7.7943759,.3114776,8.5249901,.34811497,9.9419594,.31912377,9.8235674,.36662203,9.765624,.41749844,9.4935446,.58968997,8.5
1454,5.1984162,.36076856,4.0898967,.32926413,4.8246741,.2366835,4.9494348,.17079188,4.975574,.20384414,5.5659609,.2031986,5.7064586,.21436399,6.2197471,.19215275,6.237453,.19113986,6.4677954,.18793884,6.1676946,.17742246,6.3985581,.1711417,4.3072886,.32930487,8.4748707,.41983461,7.9894414,.31467471,8.1525068,.27538204,8.5570936,.25527599,8.9461079,.2751981,8.7240677,.2762036,12.5
