target_id,price_qm2007,price_qm_se2007,price_qm2008,price_qm_se2008,price_qm2009,price_qm_se2009,price_qm2010,price_qm_se2010,price_qm2011,price_qm_se2011,price_qm2012,price_qm_se2012,price_qm2013,price_qm_se2013,price_qm2014,price_qm_se2014,price_qm2015,price_qm_se2015,price_qm2016,price_qm_se2016,price_qm2017,price_qm_se2017,price_qm2018,price_qm_se2018,price_qm2019,price_qm_se2019,price_qm2020,price_qm_se2020,price_qm2021,price_qm_se2021,price_qm2022,price_qm_se2022,price_qm2023,price_qm_se2023,price_qm2024,price_qm_se2024,Radius
1001000,5.9492502,.59370005,6.9417319,.67474407,6.8007412,.46653789,7.1566753,.28142992,6.2515707,.20868018,6.1030626,.20611694,6.9418702,.2329281,6.7677574,.23969923,6.7669811,.15325776,6.975316,.29323989,8.3982286,.6124934,7.6546817,.26761773,8.61831,.9537878,10.609623,.31128612,9.8251743,1.1253018,8.5426569,.32159775,8.7274313,.25047928,9.2898483,.40916243,128.5
1002000,6.813395,.72620928,6.1902494,.83776671,7.6973958,.54723161,7.5213771,.39428651,8.217186,.54423577,7.970705,.39323422,8.0067339,.2051373,8.1226091,.17140828,8.0080643,.14232367,8.1504507,.17530952,9.4368877,.53829944,9.0785255,.27177733,9.7786102,1.2091266,12.457682,.30429545,14.333477,1.0397215,10.346832,.3628267,10.935593,.49118307,11.456413,.41241819,67.5
1003000,6.8035274,.41563845,6.8385611,.5351553,7.7991667,.39661768,6.8701911,.27819994,6.8713975,.18393201,7.3338175,.18559404,6.9315653,.16202264,6.9619203,.12499593,8.0128317,.20793642,7.9989018,.28294039,9.5371027,.36620864,9.1493902,.22762375,13.242821,.56616437,30.266056,2.8107045,10.090379,.80255967,11.456306,.37522182,12.342872,.32739264,11.473863,.39428678,48.5
1004000,6.3596358,.61915076,6.2214322,.41639867,6.2579503,.19871497,6.4313698,.19816174,6.5185518,.26284227,6.4070616,.17142467,6.6271424,.23327041,6.9262023,.21571541,7.1945586,.21349996,7.2741385,.32254618,6.8769608,.27331883,7.0400772,.3856591,8.9332085,1.3163874,9.995018,.767672,10.95868,1.3813933,8.4206772,.21856631,8.9642992,.23504214,9.1634636,.27848768,46.5
1051001,6.2483239,.45847729,6.638711,.39770728,6.4496088,.23646916,7.0060077,.32913628,6.8479939,.31509483,6.0768037,.13338445,6.183557,.20034011,6.187346,.14869805,6.8403068,.24763858,6.8533244,.20946209,7.5605698,.42479742,7.2226567,.25016633,7.8848357,.95412779,10.794524,.44572204,8.0359821,.98075056,8.1098471,.40182278,9.3078737,.30453676,9.3853436,.75801897,69.5
1051002,6.2181478,.47725821,6.5484238,.42593676,6.4864092,.2486859,7.1010704,.39597106,6.8380742,.37526211,6.0079064,.14122714,6.0981555,.21405193,6.1076956,.16133389,6.812695,.27341679,6.8385568,.23982033,8.4191742,.69642049,7.0457349,.27341431,8.4899902,1.0148889,10.8257,.51421088,8.1608849,1.1287633,8.0189371,.47993514,9.2404318,.37695369,9.7082109,1.1075029,71.5
1051003,6.8005424,.68216604,7.5537915,.42936647,6.7506123,.31340212,6.8995333,.27263793,6.8490529,.26757434,6.3669839,.15845333,6.3748569,.18865247,6.4589291,.14706817,7.5639243,.39182636,6.6034894,.19342422,7.2238879,.25855795,7.40483,.21338524,6.7285738,.55226409,9.5332127,.46578121,7.4304643,.44499516,9.0784082,.28135207,10.500607,.30508932,9.9510145,.39661682,60.5
1051004,6.3674726,.54125267,6.8992753,.48931494,6.5848408,.28726831,7.259531,.52527094,7.0498171,.47625917,6.1453214,.17284222,5.9185724,.24397713,5.9469452,.16098721,7.03124,.40509242,6.8816705,.26537988,8.7669992,.73123384,7.5948987,.3029871,8.8205462,1.0265493,11.243246,.55335009,8.3533907,.9440695,8.6362829,.53151101,9.7477608,.32694164,10.033739,1.0151892,71.5
1051005,6.041007,.47158095,6.4004626,.41468844,6.5246987,.26601627,7.2183361,.44903386,6.8116856,.43226743,5.9355464,.15307845,6.1019964,.21990125,6.0810022,.17033692,6.8109717,.28967258,6.8718381,.25471845,8.5334435,.70943338,7.3287363,.28222808,8.5405893,1.0355644,10.942182,.57925779,8.1833096,1.1725283,8.1396332,.48732379,9.4666119,.39359337,9.9336796,1.1687422,80.5
1051006,6.8077736,.61333179,7.1056781,.51952875,6.8997397,.32489514,7.2806382,.54704839,7.2167969,.51175326,6.3588076,.17197809,6.0770078,.22389179,6.1259255,.15054604,8.0162153,.77211833,6.6963358,.24526057,7.469511,.4043473,7.5452623,.27074865,6.5125694,.49381721,9.4795303,.57955033,8.02917,.56757903,9.3200178,.40647,10.730824,.37492359,10.268822,.53827381,73.5
1051008,6.220387,.55527675,6.4411311,.40434802,6.596314,.24939395,7.2000389,.32761586,6.6757889,.33412823,5.9226928,.14258455,6.3426437,.17977872,6.296236,.14837575,6.7580199,.20354636,6.8129001,.21086761,8.159297,.49429929,7.3213425,.2623553,8.3378344,.95736343,10.649034,.35543934,8.3498297,1.0359999,8.1928148,.39273855,9.2213459,.40250355,9.4325037,.72360218,86.5
1051010,6.8885942,.55516052,7.706192,.45197153,6.9181008,.32741114,7.0386157,.32104039,7.0067806,.30074483,6.4314361,.17363465,6.255374,.23329464,6.3719912,.17198786,7.7352004,.44383726,6.8267527,.22658049,7.5353813,.33745381,7.6718578,.26950756,7.2140465,.74105692,9.7840786,.48568708,7.9310827,.63314736,8.9639597,.32903439,9.8223705,.30264086,9.7042294,.51301908,62.5
1051011,6.5557151,.5937646,6.7537937,.32295051,6.3748751,.25291768,6.3059802,.22401515,6.4713092,.22589892,6.3070073,.13952461,6.2254763,.150199,6.3935051,.12262535,7.1555648,.26423874,6.7190757,.1663622,7.2848511,.181716,7.0183253,.16127424,5.9280891,.36638036,8.7185545,.25408503,6.7442088,.3836408,8.4862165,.23669116,9.4320192,.25596887,9.0553637,.32387215,62.5
