postcode_id,price_qm2007,price_qm_se2007,price_qm2008,price_qm_se2008,price_qm2009,price_qm_se2009,price_qm2010,price_qm_se2010,price_qm2011,price_qm_se2011,price_qm2012,price_qm_se2012,price_qm2013,price_qm_se2013,price_qm2014,price_qm_se2014,price_qm2015,price_qm_se2015,price_qm2016,price_qm_se2016,price_qm2017,price_qm_se2017,price_qm2018,price_qm_se2018,price_qm2019,price_qm_se2019,price_qm2020,price_qm_se2020,price_qm2021,price_qm_se2021,price_qm2022,price_qm_se2022,price_qm2023,price_qm_se2023,price_qm2024,price_qm_se2024,price_qm2025,price_qm_se2025
1067,1348.9611,35.403042,1311.8462,27.454304,1159.1082,28.696718,1615.2489,46.772953,1596.9385,32.101921,1787.084,33.816334,1824.8649,27.546621,2026.6775,32.169746,1962.4703,39.608864,1870.5095,32.031776,1965.6696,30.751865,2442.0625,73.400124,2737.7151,45.373188,3017.3484,50.554222,3386.2219,52.733212,3697.6167,81.943726,3296.5754,64.682693,3238.0315,65.687653,3056.6755,69.059692
1069,1700.3101,47.806446,1598.9944,47.804604,1688.5106,40.125515,1822.5005,44.481773,2007.2147,39.247784,2142.2563,33.301811,2278.2593,38.382725,2600.1287,43.272705,2700.2466,38.113029,2371.5264,62.095131,2579.7983,58.573227,2965.6931,63.788288,3333.5171,63.479992,3978.3105,57.022316,3773.9993,68.928612,4147.7822,101.20992,3468.5181,77.378983,3669.958,134.00394,4924.2466,100.56817
1097,1684.6399,42.576305,1794.9606,34.667187,1770.8302,33.643055,1687.222,31.763178,1959.0801,28.782789,2127.1558,30.18395,2103.5898,27.554985,2466.3745,34.124157,2410.4543,35.543522,2728.3984,41.144497,2687.6333,37.352982,2976.626,51.375923,3383.228,44.294933,3571.0945,55.070835,4112.4336,73.846771,4094.5691,75.330269,4110.144,69.125244,3963.1763,73.584686,4084.0471,82.731789
1099,2184.6843,112.91696,2029.5504,104.42727,1976.8304,106.23145,1927.3953,106.91155,2222.2351,118.52483,2240.301,124.73462,2432.7329,130.78723,2654.0422,192.04112,2951.4932,154.86797,2623.123,138.46384,2770.8699,149.66304,2426.4734,144.04684,2618.9324,148.35364,2583.9863,175.86522,3805.7085,227.17284,4036.9167,223.57094,4012.9109,288.92545,3407.3376,216.80031,3158.5593,154.06975
1108,1364.7727,41.914543,1270.1055,41.387161,1371.9429,45.466866,1356.9618,31.359718,1405.3317,36.598801,1721.4231,58.108799,1749.3981,62.557335,1702.0251,51.8591,2134.6091,51.559937,2014.7714,52.607246,2270.2847,62.482925,1818.7054,52.934155,1725.6187,46.712166,1677.7925,48.682178,2064.968,76.141167,2880.3555,97.839813,2912.894,99.416412,2745.8489,114.24747,2128.4275,118.14638
1109,1913.8278,49.991543,1735.2128,47.048725,1745.1394,59.568863,1679.666,51.598896,1642.821,45.58577,1897.4941,48.471008,1918.4346,41.288834,1903.5814,52.28529,2167.5779,51.880756,2360.7942,54.929085,1999.7773,97.250137,2347.9937,138.95541,2222.7939,84.663231,3064.384,91.883675,3017.0176,160.9238,2796.1108,131.77165,3259.448,120.73969,3692.3503,137.64967,3964.8059,111.75182
1127,1293.6528,25.915682,1277.2267,22.584583,1172.3783,22.892504,1318.4974,25.276295,1437.2693,21.094618,1504.6007,21.314411,1593.0878,20.408239,1773.7052,24.678555,1805.2161,23.188932,1938.099,23.415995,2053.3999,25.131512,2047.4153,36.779118,2198.2598,21.840683,2524.7678,26.942801,3109.4336,57.064808,3263.6719,51.418671,3101.0454,50.280144,3083.6401,58.335598,3202.9683,51.871861
1129,1846.2633,32.317314,1597.6218,26.759968,1562.1936,37.57402,1463.3964,33.873051,1734.4337,34.514179,1819.6064,33.091278,1972.05,32.599731,1992.7858,26.662466,2012.6365,21.930244,2234.9792,32.414799,2134.9285,30.610228,2295.1855,39.726368,2474.9065,28.353643,2682.4778,56.527531,3594.0339,64.628372,3745.0889,67.044395,3312.7385,54.470036,3570.019,63.606602,4091.9229,73.486755
1139,1506.0979,28.202467,1448.2952,31.155434,1288.1748,30.328764,1366.0841,26.55217,1603.6418,37.993221,1512.6761,28.889482,1568.3104,23.571178,1726.9333,30.350061,1960.6154,39.413757,2112.2871,42.321945,2238.127,31.267292,2233.5085,29.511694,2306.7075,33.047493,3289.2688,70.855232,3717.4817,86.920998,4016.4102,69.008224,3379.6899,58.013962,3379.9866,75.856422,3059.9241,55.626228
1157,1670.5762,25.652937,1577.9484,24.315023,1517.9178,24.516253,1407.5701,25.318102,1391.4878,26.002295,1722.7753,34.967815,1709.4508,33.901447,1860.2389,35.121948,1903.6677,33.114925,1949.2849,32.497955,2183.5579,31.143599,2443.1492,40.396404,2495.8735,45.213657,2453.6719,55.82172,3073.4702,91.375473,3607.2437,86.832306,3413.5471,83.649078,3212.0503,106.47093,3298.5679,73.246147
